Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1,排除AST标准化前,排除AST标准化后,排除CM标准化前,排除CM标准化后,排除weight标准化前,排除weight标准化后,排除pdg标准化前,排除pdg标准化后
15ec0c0f3587ab44593a40adc4d37af31996f3a6,5,227.2512941,163907.3137,110.3063998,,,48.326,19.177,16.382,3.953,,184,106.7077778,0,,,,,,,,
2f2a22728cb73aaa42be4a5824298ba28df36df4,7,324.4247626,14604.75509,33.17195132,,,38.909,18.791,13.541,3.733,,75,103.74,0,,,,,,,,
66ca35f51336985f6dc1006db378787091065ebd,3,389.0099909,5134.936427,12.97595625,,,40.759,18.866,16.185,4.026,,14,16.441,0,,,,,,,,
e7ee1a8752a84b64ef613fe7dfc5e3f4a4de5fb5,1,91.0021267,5639.979507,23.10782767,,,41.41,19.151,16.543,4.019,,33,10.55,0,,,,,,,,
1b442a436f63e15fc7a661ff018b2fa370521c79,2,379.2365085,14468.68983,31.5685838,,,48.756,18.748,22.456,5.033,,26,0,1,,,,,,,,
d967479ad53da239adacee02046ea2ba04b79ffc,3,7959.167054,40149.4196,546.0559553,,,44.562,18.887,18.229,4.362,,127,0,1,,,,,,,,
fc0c4119778602dec5d77b2c57359bef12f244b3,8,83.46384164,2632.203415,24.87922886,,,36.078,18.722,12.385,3.368,,46,94.2,0,,,,,,,,
1461364bdfabddffa2a61182d87794e4b18f81a1,1,173.3581385,2029.504638,13.8502657,,,38.574,18.952,13.87,3.608,,12,20.821,0,,,,,,,,
25291b1c9791e4439bda4f533ade90e2d3039d34,1,223.1319644,48632.26244,51.31160731,,,42.234,19.55,16.192,3.884,,14,25.47,0,,,,,,,,
7158b239d552ea30978cf9cd0facbdce71fe14cc,2,613.9734568,12866.98696,18.59432721,,,40.852,19.017,15.673,3.842,,55,9.462304348,0,,,,,,,,
ac70c1fb86858783b55957545914656bd05692c7,2,13.83568847,3202.913367,31.08648208,,,43.105,19.024,15.126,3.903,,26,4.12,0,,,,,,,,
6e276e4e79373b0b3cc3682096e42352bce62a17,1,4.028412903,1221.780934,30.45857754,,,40.044,18.78,14.189,3.69,,54,4.369,0,,,,,,,,
84f53f59321de6bee1d1b53c4098eebeb4ab70d2,3,18.16998315,336.9758549,10.53610674,,,36.828,18.858,12.926,3.435,,18,10.4,0,,,,,,,,
7dfb8a93b8f8f90852f0d976ae68a4de5238e40d,1,211.3021599,691.5267773,15.67731189,,,41.526,19.028,16.847,4.057,,4,3.91,0,,,,,,,,
842dbcc9e070b48491fc320d4f3a6a7d76bc31f3,0,0.403,0,0,,,50.992,19.834,24.467,4.75,,6,0,1,,,,,,,,
120b167f292a1f2cdc4f2d83bb3cfe6a7303bb92,1,0.2,0,16.87748375,,,36.277,19.346,12.141,3.246,,19,0.4,0,,,,,,,,
c3c74d4d21fe4d44a4823641c686e259a4182533,1,2.412166345,23.82029034,49.72624226,,,36.875,18.624,12.927,3.596,,45,0,1,,,,,,,,
bc47ab2d49e4435a86156a04897c013c77b03a73,1,19.93523118,1400.001658,12.07793875,,,37.443,19.316,12.818,3.445,,5,3.01,0,,,,,,,,
91b1266173f813a590990fbae2faac8c5ef626cf,1,67.11631863,262.6745131,62.03773425,,,64.382,18.745,33.57,9.603,,67,14.63,1,,,,,,,,
801d5c080859a3eb8289ed814a7ec0c21ce601a2,6,47.60360168,21189.32584,141.1146131,,,40.859,18.542,16.125,3.856,,173,0,1,,,,,,,,
f5fa03b31f869f9ba5bf073e137db9186546b064,1,0.048,0,0,,,36.086,18.774,12.399,3.318,,174,1.68,0,,,,,,,,
1a54656d662ed6fc4f46208ad26ed30e6d866bcb,1,146.819159,191.5355301,127.0567908,,,82.008,18.839,48.663,11.763,,83,3.63,1,,,,,,,,
85382a4b5d0d51112cf6ed8103eb8bde0aab37bb,0,2.564836868,0,0,,,35.854,19.599,11.415,3.328,,6,0.4,0,,,,,,,,
69c9cb6f20946ce6e6819e79f72216341b920f1e,1,48.11736226,1147.343623,152.217811,,,36.827,18.588,12.848,3.489,,144,0,1,,,,,,,,
03b9d30d5194deff79c99a00619be5e47743178a,3,222.7839688,72641.15355,91.89357493,,,41.271,18.24,16.075,3.949,,91,73.3515,0,,,,,,,,
e389358bfec29b8898bc342eed14d790df6d64b7,3,1105.894571,13124.79689,70.14949557,,,41.088,18.588,16.648,3.961,,79,18.804,0,,,,,,,,
29e4531036eda4219b0dfef642b3537ae968b63d,7,62.37220385,382.0512847,51.27469598,,,97.063,18.401,58.919,16.394,,68,17,1,,,,,,,,
b76e694e25372876eeb674af67da0cda7dc4e8dc,12,1112.584203,317643.1538,525.5505918,,,142.966,18.433,89.55,22.395,,816,0,1,,,,,,,,
b11f01f976c271c621a780daf9c756d305756ba5,2,144.1544664,637.2885012,30.25134968,,,43.984,19.933,18.179,4.218,,23,0,1,,,,,,,,
7dec9c3cbc22aa36a5fde2c264a9b9267e5c9807,1,0.303,0,0,,,43.053,19.392,17.862,4.2,,1,0,1,,,,,,,,
ed3cd30e80eb0b227a95d26d4e7e51efb8fbaafb,1,0.44,0,8.380829065,,,51.92,18.54,24.713,6.598,,49,0.22,1,,,,,,,,
2092e79ea20f630c850c43d01d6ab11f7cbd7c1d,0,21.90763908,0,531.4106259,,,49.206,20.27,21.665,4.746,,692,0,1,,,,,,,,
0c8f71478500facc5a2ab0f6c9b7a018aae514ef,1,46.41843221,1110.514505,11.86811338,,,40.249,19.973,14.895,3.728,,12,5.05,0,,,,,,,,
7e3b9fa64edf9972172620c44529ae7c1cd657b5,3,96.74347648,91.67063197,9.532177559,,,56.15,19.97,26.729,7.129,,185,2,0,,,,,,,,
eacf8cb21739a0427d36ed798646d4127294d5e9,2,302.7236277,2407.857034,30.30800238,,,39.815,19.975,14.385,3.713,,60,0,1,,,,,,,,
c8cded028480cbb967cdc9ca5fecf3e197e1cd92,1,2.135227448,732.7908437,14.01997321,,,39.068,20.05,13.179,3.494,,5,0.54,0,,,,,,,,
f7a819b5f7778a0a5ab67f755977283d2c9fcc6e,1,2.100991329,412.0605628,12.81816386,,,39.324,19.977,13.274,3.532,,5,0.54,0,,,,,,,,
07ccb35108c5766e01d396f46f4b68096d4434c7,0,3.146295817,0,0,,,39.08,19.872,14.023,3.615,,3,0,1,,,,,,,,
c6e5a60f6882eb7708d104b7ab13e7eefca1be71,1,21.61919902,0,8.59694466,,,39.183,19.998,13.547,3.619,,6,2.55,0,,,,,,,,
344416a824b35b34946002837275bc8298486c0e,1,38.00527254,343.9198036,10.14781386,,,36.9,19.975,11.987,3.381,,8,2.55,0,,,,,,,,
98ceb4ad39fea549081bb1e7bfcafd947cd74f58,1,8.895004719,308.6894527,9.662751194,,,48.371,19.885,21.764,4.721,,12,1.05,0,,,,,,,,
6e7e11921fb79250558d6ce730997d37c26d0ba2,1,6.835246996,111.65,9.303562541,,,36.734,19.936,11.937,3.321,,8,1.06,0,,,,,,,,
e92134c3992ef955c176291d81051d9eccaae480,1,21.85506146,237.2499632,9.802645619,,,36.94,19.852,12.134,3.37,,10,2.11,0,,,,,,,,
418c984f60e6a2d5311205c4d53d8d01fa06ad42,1,7.837670563,110.0781171,9.29893003,,,38.158,19.98,13.288,3.36,,8,2.56,0,,,,,,,,
4351f0427b0a26e81b441ccae11f7a6acbfe4ed2,1,7.502459771,121.8768623,9.174536909,,,37.162,20.204,12.065,3.393,,6,2.56,0,,,,,,,,
21d3a9f9c38adc8b3787d4b06e82360d0a464228,1,4.548058782,1198.554212,10.08173383,,,40.415,19.779,15.047,3.912,,3,1,0,,,,,,,,
6eef08fd7e167420bfb01ddfbad7099ff2115b8a,2,7.15,0,0,,,38.79,20.918,12.771,3.49,,486,0,1,,,,,,,,
2b8ec98716de498cab89daa35aaa5f68c27cf0cb,0,24.3350403,74.13419405,9.113446236,,,39.757,20.094,14.401,3.648,,4,0.52,0,,,,,,,,
18b3031c26e3b1b78f41588a9898450affba2785,1,16.22256803,239.5830088,9.880383774,,,39.825,20.188,14.358,3.658,,4,14.44,0,,,,,,,,
b896b768d09dec29d82a1c1ecb1139cb190df0f3,1,0.343,1028.679561,38.0795211,,,39.854,20.052,14.466,3.747,,16,4.004,0,,,,,,,,
2805d181b64b1af36245c2157cefbfd02ee8b07a,2,86.36381224,839.7946908,21.71257166,,,39.227,20.234,13.51,3.528,,13,0.01,0,,,,,,,,
27cc181ec74b9fb1424ea6ccca00a2f2cdea84ff,0,8.957822815,0,9.1562447,,,38.382,20.134,13.271,3.385,,17,0,1,,,,,,,,
96796985d6124fe73726e3799c4e6be7243400c7,1,0.46,0,0,,,37.137,20.055,11.874,3.398,,232,0,0,,,,,,,,
c184917aa9e9af2e3cd9be1169c7689f1e9b6550,1,75.6712029,4688.007945,62.75823207,,,39.179,19.95,13.79,3.662,,111,0,1,,,,,,,,
