Commit Hash,Human tagged data,DEffort score,我的分数,我的分数2,标准化后的分数,,标准化前,标准化后,,,总时间/s,调用图时间/s,DDG/s,CDG/s,Changed LoC,ELOC,ERROR for 1
7b5922561e1b35614b268ef98a99cac8fe5c4fe2,13,266.5995808,,,,,46846.67888,214.395278,,,172.313,154.373,12.806,3.421,108,0,1
e161fcd62a4a75121bd22773e2cdbf2867a16225,14,468.4816471,,,,,37559.51319,85.88307343,,,268.457,155.985,86.163,19.82,74,31.88165129,1
9b8b186772e40a1229c2212bbf40a23e45d1f0f2,3,40.95691154,,,,,1614.245499,18.8226364,,,179.668,155.089,16.166,4.158,2,10.5,0
03ede75b02f63f481b474539c005cb434f4aeaa8,3,31.09509572,,,,,8168.507641,27.2389313,,,215.037,155.57,9.52,9.52,2,13,0
732c2a33bd0fdae3e6320fadcb52b766bdd91d7b,7,85.67142025,,,,,76995.49359,90.03862427,,,231.598,152.314,62.136,13.067,41,48.21,1
e6cc01eaa929606ced9d5996192078c9495ddc57,19,308.6165641,,,,,27106.19738,37.40329,,,215.463,153.019,47.104,10.918,100,0,1
333f11f2cffeb764da7da27d4e83e3b8363427ab,20,1370.386266,,,,,1727951.417,524.9713196,,,219.396,156.654,40.277,7.696,546,0,1
e8ec59ee44d0fe54355c790deb782a35dae9a628,4,16.39583924,,,,,2521.978863,19.4139409,,,173.16,156.673,11.541,3.265,31,0,1
3e2fa459144bf08bdf4f6108f74875e23ff19748,2,12.20860139,,,,,352.4526894,10.2778173,,,177.296,155.298,16.276,3.764,1,4.2,0
f96732be30922bb4497dfda69ff7acac94c63d4c,2,305.8479698,,,,,73.10477026,11.07887082,,,180.838,155.198,18.703,4.318,3,1,0
b04b950a4a37836c3ac4f801c01e25fe80aa924b,15,148.484565,,,,,18583.00964,72.18448042,,,216.245,152.388,51.205,6.635,116,3.21,1
7a793785de55ca41fc6ef50a9dabbd2d5b07b887,7,19.19929302,,,,,227.7052751,24.78272781,,,170.774,152.002,13.959,3.042,11,0,1
838ebd828f76cb13dfead4fbfd3ee478096872ba,4,485.5545242,,,,,5233.516957,72.86666005,,,188.603,153.418,26.378,5.595,46,0,1
2baacfb81092936cd933ee26ed60c0035456308a,3,19.81260791,,,,,0.305152015,5.317953409,,,176.623,152.501,18.068,4.156,5,4.2,0
62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,6,180.441682,,,,,1727.503707,29.43488386,,,174.216,154.472,14.305,3.649,13,0,1
1a4fb9bb29188ba8474a20868ff8eda6d9b48317,16,185.5992317,,,,,235310.2819,65.98484445,,,197.533,153.945,33.159,7.642,52,17.1,1
a38362318bf1bd3bce7db2ada32b325d71bb21b8,19,420.5659229,,,,,64011.64823,113.3802364,,,202.036,153.651,36.294,8.399,109,0,1
be6b5364d1c10a9d37057ee85daf9313eb8a64bb,5,186.3347802,,,,,388.9632939,19.16893378,,,176.727,152.448,17.886,4.385,7,21.7075,0
10a41a2974fe4f9b8dcc261a72b67395833da2ef,1,17.192,,,,,1662.465679,11.00996059,,,179.95,153.594,19.837,4.391,4,2.821,0
b584203cf4d3969245ffc540fc6c51fc5e3b264e,2,45.47101111,,,,,1925.19256,14.13215961,,,176.769,151.965,18.835,4.04,8,8.51,0
15ac107181ff88781a593e6f9e12ee357d6046d3,9,448.1461918,,,,,96101.45988,133.517847,,,201.188,149.929,38.562,8.545,42,1,1
28b674e9814902a6bbf472fdf734fcdad1b97df2,8,232.1440097,,,,,688563.3354,328.3556092,,,202.322,149.848,39.852,8.931,190,7.508333333,1
2fa8ee07e55b476f778a63633f556bbf6b023ab7,6,55.07823606,,,,,2111.908703,108.1327345,,,221.931,152.965,52.553,13.54,67,2.58,1
a7f1f5c4ac52503cc95bf1d27498098b3093a0df,6,44.53868509,,,,,8291.688324,52.68815256,,,191.267,153.319,28.036,6.774,33,29.2,1
8b690ffcc901a9655b5c871795f7be910cef7f0f,5,271.8875012,,,,,16610.80303,24.22946852,,,181.601,152.605,22.019,4.574,27,0,1
90d591ef35c6a599656aaa299d819ae5746322ed,11,1327.066419,,,,,136962.3384,147.0368256,,,215.449,153.507,45.68,11.713,86,0,1
