Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
3ff3a7cb23c1114f415220b129bc560551230d58,3,95.79279978,0,32.78290297,,,36.573,2.192,25.287,6.932,,85,0,1
21e282ae64c28d1ffdd5d00c93f34bfd932db58e,1,0.001,0,0,,,17.361,2.196,10.298,3.066,,29,0.6,0
7b1b50f4b0eaadebcb46cdcd2c79ac042e50845f,3,128.7087829,0,30.24550501,,,23.611,2.334,15.465,3.632,,144,0,1
9a2db79a9e514afd8d7b7c8964166a0086f136d0,2,114.0209729,478.6074935,25.38572828,,,39.149,2.173,27.481,6.983,,179,0,1
ec846af9085cad8f42304b185f5bb5666ce33af5,1,0.8,0,0,,,3.176,2.144,0.001,0.0,,149,0.6,1
ea2fb4e75cf8bdebc60676e1f610647e234da448,1,29.14752466,0,0,,,19.237,2.125,12.319,3.353,,58,0,1
919f44a44780ea7f1e4062054f01e79fcb698130,7,630.0533572,0,141.040494,,,19.009,2.162,12.184,3.322,,508,0,1
d8b0e0e74ba2fb174e26b33f8358f70c00a55138,4,12.55361274,0,8.629007862,,,37.834,1.923,26.036,6.729,,423,11,1
0569fd5744769c37cef42be90af7643981b5b198,2,0.07,0,10.85662868,,,22.404,2.072,13.932,3.565,,25,0.101,1
2f945be958256e4bd4e87ee09ab52a346b97c12b,4,439.5070348,0,48.56631075,,,3.163,2.113,0.0,0.001,,80,0,1
5d4ab8c4c3b024aae607d83f428be7cbb17568e5,3,26.46196382,0,41.57623368,,,3.035,2.007,0.001,0.0,,209,1.82,1
bb999955f1ac5609d7a5c9ba5df93f883ffffa91,4,80.7727075,0,45.76350967,,,20.16,2.028,12.938,3.481,,106,0,1
977f9bb1754c4c925da650a9a3af8cab926fb4d9,3,59.39359417,0,20.43285342,,,57.055,1.997,40.503,10.689,,101,0,1
b741c5b0b933494a083254483d009e86e091503f,3,53.12116475,0,20.03064802,,,2.971,1.962,0.001,0.0,,72,0,1
