Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
245b4efe2aba5733744bc3e447513508c683201e,3,108.9297034,17536.09333,46.99188531,,,22.547,4.861,12.607,3.408,,20,38.62,0
f30d0e2a203edaa8081809441868acfe20b267c6,0,7.484040782,0,52.36099051,,,70.36,4.759,49.439,13.378,,342,0.6,1
f3a41036e53ce08c5b3db9db8924f09db3c57921,1,7.2,666.9012406,10.22684619,,,21.993,4.813,12.277,3.375,,3,3,0
14624a89d0025832e73fb85ac96350e2e3488fa7,1,0.606,55.04309506,58.86489313,,,82.425,4.752,57.436,14.67,,28,1.8,0
6a533597683f2c2c11fdc4905e120528f38633fa,1,0.002,0,0,,,22.284,4.822,12.493,3.456,,15,0,1
0128c4effcc98098ba79a6042dc19ef82164cdf2,1,15.013338,366.7386463,18.61145245,,,22.293,4.799,12.554,3.415,,3,0,0
2bc62f36d56f8e38b816b35bd7f2ce312a808b30,2,152.5207917,234.2576543,9.355987405,,,24.077,4.78,14.038,3.672,,18,0,1
5948129e05ba9c662d7d8faeed5f28a546f1c1eb,1,3.331900438,74.47209781,9.438118773,,,24.02,4.868,13.965,3.742,,7,0,1
311575dc5bab58b063819a067cd8ec89b4ccde09,1,0.487037167,4.486836036,15.74548951,,,22.382,4.899,12.586,3.395,,3,0,0
9a80ee239555f5011ddcabf4e5e3f994673997cc,1,53.80834199,2720.512785,60.27434962,,,39.201,4.847,25.619,6.764,,471,0,1
79d401e75026ab628251647f7cc903e3aa9540de,2,97.12050642,749.7953351,10.02407056,,,22.295,4.878,12.582,3.343,,5,3.31,0
13ee3e14272130646bf71f351f3c4211b5266f3a,1,365.7094165,15173.97607,99.76829549,,,22.006,4.889,12.209,3.377,,30,30.91,0
2e128089b94aa7482c61fb0b49f072d71701f129,2,1772.370181,85475.29649,720.5546996,,,345.907,4.902,258.924,68.971,,199,101.57,1
e938f2d6bd52198e87a46758aa581cb582433b17,1,157.8893668,0,0,,,211.351,4.849,158.453,40.965,,19,38,0
09b05ff1a1f89d45f5e464c663c9a6557b08b69c,1,128.0812344,4502.913101,41.74668595,,,61.181,4.862,42.272,10.873,,16,8.4805,0
c5047a803449a38d042418543f8c88611617f9b3,1,0.303,0,0,,,25.216,5.015,15.083,3.644,,3,0.2,0
a8a42c63a7264cea1ea2261e35c394379e002455,7,129.225529,6610.869191,71.7036047,,,42.294,4.854,28.08,7.087,,135,0,1
068ea6ab2a7b81b5db5d4d6fea88e58c9323ebc7,2,57.66913463,567.1963111,36.48608013,,,26.473,4.898,16.097,3.956,,29,12.182,0
1b86b8590da4a8470d9602f23e68d6da1e374606,18,1091.06394,76274.0478,330.2811399,,,150.173,4.989,110.874,30.292,,1290,0,1
385b1179915c58bdae7dfdf45b2a95eecbb58ddb,1,7.980469034,422.2458902,7.995204449,,,22.87,4.975,12.844,3.399,,14,0,1
43608fd74fdc33dd31c6a4a2fd38709279781a56,1,0.04,10.61287083,7.44959595,,,22.973,5.003,12.869,3.485,,4,0.14,0
8b3a820b91b42e6504d12db400382a7f9be4d478,1,0.303,0,0,,,27.848,4.992,17.187,4.076,,6,0,1
feb0fac92709bea7c0e59f2603ad2fe1c9d21051,1,0.403,70.82952829,26.65049525,,,27.866,4.984,17.129,4.103,,4,0.14,0
086c2c24eab277e005d7dd7808c04d9811464636,0,6.513592693,0,0,,,22.334,4.988,12.475,3.396,,3,0,1
69c008475b91914139cc19514a91a1671d9d2411,1,4.076785511,2377.532021,119.9095697,,,24.434,4.999,14.205,3.738,,43,0,1
a9dc0cc5ebf95748703eb879ae7ade0704b868b3,2,3.814337018,0,149.0667746,,,99.602,4.889,71.791,18.268,,281,0,1
d4923c566c9db6254980fdf96b5241e16ff1a74a,1,10.65339783,382.6547288,9.217012002,,,21.828,4.822,12.182,3.404,,10,3.5,0
666f3b938b51ebcd10b84e7ad671af52b6a22774,1,0.637238313,0,8.134860205,,,24.98,4.894,14.475,3.561,,7,0.5,0
1f1bf732df4c2ac5b25c75bc3a422ea6958df36a,1,7.534549812,598.617971,10.39332789,,,24.907,4.91,13.894,3.547,,5,0.5,0
01bfe91bbefe14424f2da493b8d8da04b4b1ed6b,0,11.06465645,868.4417688,109.1954094,,,198.309,4.944,145.991,38.581,,45,4.08,0
201535b8331eb639f1296c39efbdb4c1653a957b,0,30.10727095,2264.416542,14.81107631,,,25.68,4.909,14.157,3.614,,10,3,0
16ca2cb6affb487fc01dc1fe5a80b5763f017a7e,5,173.0863003,4866.548707,27.96524575,,,44.467,4.953,29.874,7.562,,87,7.41,1
eb3c3aa53bb20274cafee8e3eac6304100e4cdea,2,63.90117911,9301.535354,16.90513142,,,27.778,4.958,17.106,4.125,,17,4.96,0
99f5cd187a522c2cf41c49360f16c2371157e29b,2,53.87927608,18095.31772,21.84904677,,,28.014,4.92,17.377,4.135,,9,23.62,0
c796c314bf36cb93d8cd1290de1419b28a2c4d76,3,33.51054974,18714.97665,22.08281717,,,27.791,4.996,17.116,4.096,,14,13.776,0
4b5cd38ba240fddce20d06d346be32057ba4c0a4,1,19.11903756,1981.292257,12.86687841,,,27.94,4.938,17.218,4.177,,20,4.594,0
ef411a9af10e9f4d210181b6affe27564faf3aff,2,35.88650765,4685.406282,15.82809972,,,27.615,4.851,16.974,4.165,,9,0,1
5166edc0fe7923d607b6714338a02e57932e67da,4,99.93641295,2000.375847,88.6346192,,,63.794,4.918,45.103,11.166,,39,9.061,1
0cce52216268fae91a3a0068f6836971377b778e,3,118.5124232,5983.744827,220.7099862,,,43.926,4.925,29.572,7.405,,79,2.72,1
6e795c4840cf8ed7adfc8635b8975eb3f0c032d9,4,1053.70066,28790.79553,182.2384271,,,84.616,4.891,59.414,16.031,,402,0,1
af1c7dacf8e920265bf44c6b115b52fc5916ba0e,6,503.6820011,9074.983118,71.91746719,,,47.472,4.762,32.047,8.369,,102,18.47,1
86de7982d909cf134e7dc30015faf96b7f509c77,3,149.2525378,9055.4204,19.93444915,,,30.446,5.23,18.936,4.585,,24,12.2,0
c266aa4872419938d97f850728d3edaa35d75a39,2,133.5266495,881.4120614,79.56245217,,,69.429,5.192,47.859,12.037,,42,2.654,1
3aba80ac1e3773b4a616d53c999b9daa06a63f56,3,8.606050296,1975.634728,78.89646541,,,83.307,5.163,59.658,15.206,,22,4.589,0
4f20b724dc78f669207dfc3b22836153cff3a029,5,271.5908095,13577.71487,56.02634674,,,47.359,4.917,32.103,7.751,,113,0,1
